Sno,Date,Country/Region,Province/State,Confirmed,Region
335,24-03-2020,India,Chandigarh,7,India
336,24-03-2020,India,Jammu and Kashmir,4,India
337,24-03-2020,India,Ladakh,13,India
338,24-03-2020,India,Uttar Pradesh,33,India
339,24-03-2020,India,Uttarakhand,4,India
340,24-03-2020,India,West Bengal,9,India
341,25-03-2020,India,Andhra Pradesh,9,India
342,25-03-2020,India,Bihar,4,India
343,25-03-2020,India,Chhattisgarh,1,India
344,25-03-2020,India,Delhi,31,India
345,25-03-2020,India,Gujarat,38,India
346,25-03-2020,India,Haryana,28,India
347,25-03-2020,India,Himachal Pradesh,3,India
348,25-03-2020,India,Karnataka,41,India
349,25-03-2020,India,Kerala,109,India
350,25-03-2020,India,Madhya Pradesh,14,India
351,25-03-2020,India,Maharashtra,128,India
352,25-03-2020,India,Manipur,1,India
353,25-03-2020,India,Mizoram,1,India
354,25-03-2020,India,Odisha,2,India
355,25-03-2020,India,Puducherry,1,India
356,25-03-2020,India,Punjab,29,India
357,25-03-2020,India,Rajasthan,36,India
358,25-03-2020,India,Tamil Nadu,18,India
359,25-03-2020,India,Telengana,35,India
360,25-03-2020,India,Chandigarh,7,India
361,25-03-2020,India,Jammu and Kashmir,7,India
362,25-03-2020,India,Ladakh,13,India
363,25-03-2020,India,Uttar Pradesh,37,India
364,25-03-2020,India,Uttarakhand,4,India
365,25-03-2020,India,West Bengal,9,India
366,26-03-2020,India,Andaman and Nicobar Islands,1,India
367,26-03-2020,India,Andhra Pradesh,11,India
368,26-03-2020,India,Bihar,6,India
369,26-03-2020,India,Chandigarh,7,India
370,26-03-2020,India,Chhattisgarh,6,India
371,26-03-2020,India,Delhi,36,India
372,26-03-2020,India,Goa,3,India
373,26-03-2020,India,Gujarat,43,India
374,26-03-2020,India,Haryana,30,India
375,26-03-2020,India,Himachal Pradesh,3,India
376,26-03-2020,India,Jammu and Kashmir,13,India
377,26-03-2020,India,Karnataka,55,India
378,26-03-2020,India,Kerala,118,India
379,26-03-2020,India,Ladakh,13,India
380,26-03-2020,India,Madhya Pradesh,20,India
381,26-03-2020,India,Maharashtra,124,India
382,26-03-2020,India,Manipur,1,India
383,26-03-2020,India,Mizoram,1,India
384,26-03-2020,India,Odisha,2,India
385,26-03-2020,India,Puducherry,1,India
386,26-03-2020,India,Punjab,33,India
387,26-03-2020,India,Rajasthan,41,India
388,26-03-2020,India,Tamil Nadu,26,India
389,26-03-2020,India,Telengana,44,India
390,26-03-2020,India,Uttarakhand,5,India
391,26-03-2020,India,Uttar Pradesh,41,India
392,26-03-2020,India,West Bengal,10,India
393,27-03-2020,India,Andaman and Nicobar Islands,1,India
394,27-03-2020,India,Andhra Pradesh,12,India
395,27-03-2020,India,Bihar,6,India
396,27-03-2020,India,Chandigarh,7,India
397,27-03-2020,India,Chhattisgarh,6,India
398,27-03-2020,India,Delhi,36,India
399,27-03-2020,India,Goa,3,India
400,27-03-2020,India,Gujarat,43,India
401,27-03-2020,India,Haryana,30,India
402,27-03-2020,India,Himachal Pradesh,3,India
403,27-03-2020,India,Jammu and Kashmir,13,India
404,27-03-2020,India,Karnataka,55,India
405,27-03-2020,India,Kerala,137,India
406,27-03-2020,India,Ladakh,13,India
407,27-03-2020,India,Madhya Pradesh,20,India
408,27-03-2020,India,Maharashtra,130,India
409,27-03-2020,India,Manipur,1,India
410,27-03-2020,India,Mizoram,1,India
411,27-03-2020,India,Odisha,2,India
412,27-03-2020,India,Puducherry,1,India
413,27-03-2020,India,Punjab,33,India
414,27-03-2020,India,Rajasthan,41,India
415,27-03-2020,India,Tamil Nadu,29,India
416,27-03-2020,India,Telengana,45,India
417,27-03-2020,India,Uttarakhand,5,India
418,27-03-2020,India,Uttar Pradesh,41,India
419,27-03-2020,India,West Bengal,10,India
420,28-03-2020,India,Andhra Pradesh,14,India
421,28-03-2020,India,Andaman and Nicobar Islands,6,India
422,28-03-2020,India,Bihar,9,India
423,28-03-2020,India,Chandigarh,8,India
424,28-03-2020,India,Chhattisgarh,6,India
425,28-03-2020,India,Delhi,39,India
426,28-03-2020,India,Goa,3,India
427,28-03-2020,India,Gujarat,45,India
428,28-03-2020,India,Haryana,33,India
429,28-03-2020,India,Himachal Pradesh,3,India
430,28-03-2020,India,Jammu and Kashmir,20,India
431,28-03-2020,India,Karnataka,55,India
432,28-03-2020,India,Kerala,176,India
433,28-03-2020,India,Ladakh,13,India
434,28-03-2020,India,Madhya Pradesh,30,India
435,28-03-2020,India,Maharashtra,180,India
436,28-03-2020,India,Manipur,1,India
437,28-03-2020,India,Mizoram,1,India
438,28-03-2020,India,Odisha,3,India
439,28-03-2020,India,Puducherry,1,India
440,28-03-2020,India,Punjab,38,India
441,28-03-2020,India,Rajasthan,54,India
442,28-03-2020,India,Tamil Nadu,40,India
443,28-03-2020,India,Telengana,56,India
444,28-03-2020,India,Uttarakhand,5,India
445,28-03-2020,India,Uttar Pradesh,55,India
446,28-03-2020,India,West Bengal,15,India
447,29-03-2020,India,Andhra Pradesh,19,India
448,29-03-2020,India,Andaman and Nicobar Islands,9,India
449,29-03-2020,India,Bihar,11,India
450,29-03-2020,India,Chandigarh,8,India
451,29-03-2020,India,Chhattisgarh,7,India
452,29-03-2020,India,Delhi,49,India
453,29-03-2020,India,Goa,5,India
454,29-03-2020,India,Gujarat,58,India
455,29-03-2020,India,Haryana,33,India
456,29-03-2020,India,Himachal Pradesh,3,India
457,29-03-2020,India,Jammu and Kashmir,31,India
458,29-03-2020,India,Karnataka,76,India
459,29-03-2020,India,Kerala,182,India
460,29-03-2020,India,Ladakh,13,India
461,29-03-2020,India,Madhya Pradesh,30,India
462,29-03-2020,India,Maharashtra,186,India
463,29-03-2020,India,Manipur,1,India
464,29-03-2020,India,Mizoram,1,India
465,29-03-2020,India,Odisha,3,India
466,29-03-2020,India,Puducherry,1,India
467,29-03-2020,India,Punjab,38,India
468,29-03-2020,India,Rajasthan,55,India
469,29-03-2020,India,Tamil Nadu,49,India
470,29-03-2020,India,Telengana,66,India
471,29-03-2020,India,Uttarakhand,7,India
472,29-03-2020,India,Uttar Pradesh,65,India
473,29-03-2020,India,West Bengal,18,India
474,30-03-2020,India,Andhra Pradesh,23,India
475,30-03-2020,India,Andaman and Nicobar Islands,9,India
476,30-03-2020,India,Bihar,15,India
477,30-03-2020,India,Chandigarh,8,India
478,30-03-2020,India,Chhattisgarh,7,India
479,30-03-2020,India,Delhi,87,India
480,30-03-2020,India,Goa,5,India
481,30-03-2020,India,Gujarat,69,India
482,30-03-2020,India,Haryana,36,India
483,30-03-2020,India,Himachal Pradesh,3,India
484,30-03-2020,India,Jammu and Kashmir,48,India
485,30-03-2020,India,Karnataka,83,India
486,30-03-2020,India,Kerala,202,India
487,30-03-2020,India,Ladakh,13,India
488,30-03-2020,India,Madhya Pradesh,47,India
489,30-03-2020,India,Maharashtra,198,India
490,30-03-2020,India,Manipur,1,India
491,30-03-2020,India,Mizoram,1,India
492,30-03-2020,India,Odisha,3,India
493,30-03-2020,India,Puducherry,1,India
494,30-03-2020,India,Punjab,38,India
495,30-03-2020,India,Rajasthan,59,India
496,30-03-2020,India,Tamil Nadu,67,India
497,30-03-2020,India,Telengana,71,India
498,30-03-2020,India,Uttarakhand,7,India
499,30-03-2020,India,Uttar Pradesh,82,India
500,30-03-2020,India,West Bengal,22,India
501,30-03-2020,India,Unassigned,46,India
502,31-03-2020,India,Andhra Pradesh,40,India
503,31-03-2020,India,Andaman and Nicobar Islands,10,India
504,31-03-2020,India,Bihar,15,India
505,31-03-2020,India,Chandigarh,13,India
506,31-03-2020,India,Chhattisgarh,8,India
507,31-03-2020,India,Delhi,97,India
508,31-03-2020,India,Goa,5,India
509,31-03-2020,India,Gujarat,73,India
510,31-03-2020,India,Haryana,40,India
511,31-03-2020,India,Himachal Pradesh,3,India
512,31-03-2020,India,Jammu and Kashmir,54,India
513,31-03-2020,India,Karnataka,83,India
514,31-03-2020,India,Kerala,234,India
515,31-03-2020,India,Ladakh,13,India
516,31-03-2020,India,Madhya Pradesh,47,India
517,31-03-2020,India,Maharashtra,216,India
518,31-03-2020,India,Manipur,1,India
519,31-03-2020,India,Mizoram,1,India
520,31-03-2020,India,Odisha,3,India
521,31-03-2020,India,Puducherry,1,India
522,31-03-2020,India,Punjab,41,India
523,31-03-2020,India,Rajasthan,74,India
524,31-03-2020,India,Tamil Nadu,74,India
525,31-03-2020,India,Telengana,79,India
526,31-03-2020,India,Uttarakhand,7,India
527,31-03-2020,India,Uttar Pradesh,101,India
528,31-03-2020,India,West Bengal,26,India
