Sno,Date,Country/Region,Province/State,Deaths,Region
342,25-03-2020,India,Bihar,1,India
343,25-03-2020,India,Chhattisgarh,0,India
344,25-03-2020,India,Delhi,1,India
345,25-03-2020,India,Gujarat,1,India
346,25-03-2020,India,Haryana,0,India
347,25-03-2020,India,Himachal Pradesh,1,India
348,25-03-2020,India,Karnataka,1,India
349,25-03-2020,India,Kerala,0,India
350,25-03-2020,India,Madhya Pradesh,0,India
351,25-03-2020,India,Maharashtra,3,India
352,25-03-2020,India,Manipur,0,India
353,25-03-2020,India,Mizoram,0,India
354,25-03-2020,India,Odisha,0,India
355,25-03-2020,India,Puducherry,0,India
356,25-03-2020,India,Punjab,1,India
357,25-03-2020,India,Rajasthan,0,India
358,25-03-2020,India,Tamil Nadu,0,India
359,25-03-2020,India,Telengana,0,India
360,25-03-2020,India,Chandigarh,0,India
361,25-03-2020,India,Jammu and Kashmir,0,India
362,25-03-2020,India,Ladakh,0,India
363,25-03-2020,India,Uttar Pradesh,0,India
364,25-03-2020,India,Uttarakhand,0,India
365,25-03-2020,India,West Bengal,1,India
366,26-03-2020,India,Andaman and Nicobar Islands,0,India
367,26-03-2020,India,Andhra Pradesh,0,India
368,26-03-2020,India,Bihar,1,India
369,26-03-2020,India,Chandigarh,0,India
370,26-03-2020,India,Chhattisgarh,0,India
371,26-03-2020,India,Delhi,1,India
372,26-03-2020,India,Goa,0,India
373,26-03-2020,India,Gujarat,3,India
374,26-03-2020,India,Haryana,0,India
375,26-03-2020,India,Himachal Pradesh,1,India
376,26-03-2020,India,Jammu and Kashmir,0,India
377,26-03-2020,India,Karnataka,2,India
378,26-03-2020,India,Kerala,0,India
379,26-03-2020,India,Ladakh,0,India
380,26-03-2020,India,Madhya Pradesh,1,India
381,26-03-2020,India,Maharashtra,3,India
382,26-03-2020,India,Manipur,0,India
383,26-03-2020,India,Mizoram,0,India
384,26-03-2020,India,Odisha,0,India
385,26-03-2020,India,Puducherry,0,India
386,26-03-2020,India,Punjab,1,India
387,26-03-2020,India,Rajasthan,0,India
388,26-03-2020,India,Tamil Nadu,1,India
389,26-03-2020,India,Telengana,0,India
390,26-03-2020,India,Uttarakhand,0,India
391,26-03-2020,India,Uttar Pradesh,0,India
392,26-03-2020,India,West Bengal,1,India
393,27-03-2020,India,Andaman and Nicobar Islands,0,India
