Sno,Date,Country/Region,Province/State,Confirmed
400,27-03-2020,India,Gujarat,43
401,27-03-2020,India,Haryana,30
402,27-03-2020,India,Himachal Pradesh,3
403,27-03-2020,India,Jammu and Kashmir,13
404,27-03-2020,India,Karnataka,55
405,27-03-2020,India,Kerala,137
406,27-03-2020,India,Ladakh,13
407,27-03-2020,India,Madhya Pradesh,20
408,27-03-2020,India,Maharashtra,130
409,27-03-2020,India,Manipur,1
410,27-03-2020,India,Mizoram,1
411,27-03-2020,India,Odisha,2
412,27-03-2020,India,Puducherry,1
413,27-03-2020,India,Punjab,33
414,27-03-2020,India,Rajasthan,41
415,27-03-2020,India,Tamil Nadu,29
416,27-03-2020,India,Telengana,45
417,27-03-2020,India,Uttarakhand,5
418,27-03-2020,India,Uttar Pradesh,41
419,27-03-2020,India,West Bengal,10
420,28-03-2020,India,Andhra Pradesh,14
421,28-03-2020,India,Andaman and Nicobar Islands,6
422,28-03-2020,India,Bihar,9
423,28-03-2020,India,Chandigarh,8
424,28-03-2020,India,Chhattisgarh,6
425,28-03-2020,India,Delhi,39
426,28-03-2020,India,Goa,3
427,28-03-2020,India,Gujarat,45
428,28-03-2020,India,Haryana,33
429,28-03-2020,India,Himachal Pradesh,3
430,28-03-2020,India,Jammu and Kashmir,20
431,28-03-2020,India,Karnataka,55
432,28-03-2020,India,Kerala,176
433,28-03-2020,India,Ladakh,13
434,28-03-2020,India,Madhya Pradesh,30
435,28-03-2020,India,Maharashtra,180
436,28-03-2020,India,Manipur,1
437,28-03-2020,India,Mizoram,1
438,28-03-2020,India,Odisha,3
439,28-03-2020,India,Puducherry,1
440,28-03-2020,India,Punjab,38
441,28-03-2020,India,Rajasthan,54
442,28-03-2020,India,Tamil Nadu,40
443,28-03-2020,India,Telengana,56
444,28-03-2020,India,Uttarakhand,5
445,28-03-2020,India,Uttar Pradesh,55
446,28-03-2020,India,West Bengal,15
447,29-03-2020,India,Andhra Pradesh,19
448,29-03-2020,India,Andaman and Nicobar Islands,9
449,29-03-2020,India,Bihar,11
450,29-03-2020,India,Chandigarh,8
451,29-03-2020,India,Chhattisgarh,7
452,29-03-2020,India,Delhi,49
453,29-03-2020,India,Goa,5
454,29-03-2020,India,Gujarat,58
455,29-03-2020,India,Haryana,33
456,29-03-2020,India,Himachal Pradesh,3
457,29-03-2020,India,Jammu and Kashmir,31
458,29-03-2020,India,Karnataka,76
459,29-03-2020,India,Kerala,182
460,29-03-2020,India,Ladakh,13
461,29-03-2020,India,Madhya Pradesh,30
462,29-03-2020,India,Maharashtra,186
463,29-03-2020,India,Manipur,1
464,29-03-2020,India,Mizoram,1
465,29-03-2020,India,Odisha,3
466,29-03-2020,India,Puducherry,1
467,29-03-2020,India,Punjab,38
468,29-03-2020,India,Rajasthan,55
469,29-03-2020,India,Tamil Nadu,49
470,29-03-2020,India,Telengana,66
471,29-03-2020,India,Uttarakhand,7
472,29-03-2020,India,Uttar Pradesh,65
473,29-03-2020,India,West Bengal,18
474,30-03-2020,India,Andhra Pradesh,23
475,30-03-2020,India,Andaman and Nicobar Islands,9
476,30-03-2020,India,Bihar,15
477,30-03-2020,India,Chandigarh,8
478,30-03-2020,India,Chhattisgarh,7
479,30-03-2020,India,Delhi,87
480,30-03-2020,India,Goa,5
481,30-03-2020,India,Gujarat,69
482,30-03-2020,India,Haryana,36
483,30-03-2020,India,Himachal Pradesh,3
484,30-03-2020,India,Jammu and Kashmir,48
485,30-03-2020,India,Karnataka,83
486,30-03-2020,India,Kerala,202
487,30-03-2020,India,Ladakh,13
488,30-03-2020,India,Madhya Pradesh,47
489,30-03-2020,India,Maharashtra,198
490,30-03-2020,India,Manipur,1
491,30-03-2020,India,Mizoram,1
492,30-03-2020,India,Odisha,3
493,30-03-2020,India,Puducherry,1
494,30-03-2020,India,Punjab,38
495,30-03-2020,India,Rajasthan,59
496,30-03-2020,India,Tamil Nadu,67
497,30-03-2020,India,Telengana,71
498,30-03-2020,India,Uttarakhand,7
499,30-03-2020,India,Uttar Pradesh,82
500,30-03-2020,India,West Bengal,22
501,30-03-2020,India,Unassigned,46
502,31-03-2020,India,Andhra Pradesh,40
503,31-03-2020,India,Andaman and Nicobar Islands,10
504,31-03-2020,India,Bihar,15
505,31-03-2020,India,Chandigarh,13
506,31-03-2020,India,Chhattisgarh,8
507,31-03-2020,India,Delhi,97
508,31-03-2020,India,Goa,5
509,31-03-2020,India,Gujarat,73
510,31-03-2020,India,Haryana,40
511,31-03-2020,India,Himachal Pradesh,3
512,31-03-2020,India,Jammu and Kashmir,54
513,31-03-2020,India,Karnataka,83
514,31-03-2020,India,Kerala,234
515,31-03-2020,India,Ladakh,13
516,31-03-2020,India,Madhya Pradesh,47
517,31-03-2020,India,Maharashtra,216
518,31-03-2020,India,Manipur,1
519,31-03-2020,India,Mizoram,1
520,31-03-2020,India,Odisha,3
521,31-03-2020,India,Puducherry,1
522,31-03-2020,India,Punjab,41
523,31-03-2020,India,Rajasthan,74
524,31-03-2020,India,Tamil Nadu,74
525,31-03-2020,India,Telengana,79
526,31-03-2020,India,Uttarakhand,7
527,31-03-2020,India,Uttar Pradesh,101
528,31-03-2020,India,West Bengal,26
529,31-03-2020,India,Unassigned,38
530,01-04-2020,India,Andhra Pradesh,83
531,01-04-2020,India,Andaman and Nicobar Islands,10
532,01-04-2020,India,Assam,1
533,01-04-2020,India,Bihar,23
534,01-04-2020,India,Chandigarh,16
535,01-04-2020,India,Chhattisgarh,9
536,01-04-2020,India,Delhi,152
537,01-04-2020,India,Goa,5
538,01-04-2020,India,Gujarat,82
539,01-04-2020,India,Haryana,43
540,01-04-2020,India,Himachal Pradesh,3
541,01-04-2020,India,Jammu and Kashmir,62
542,01-04-2020,India,Jharkhand,1
543,01-04-2020,India,Karnataka,101
544,01-04-2020,India,Kerala,241
545,01-04-2020,India,Ladakh,13
546,01-04-2020,India,Madhya Pradesh,66
547,01-04-2020,India,Maharashtra,302
548,01-04-2020,India,Manipur,1
549,01-04-2020,India,Mizoram,1
550,01-04-2020,India,Odisha,4
551,01-04-2020,India,Puducherry,3
552,01-04-2020,India,Punjab,42
553,01-04-2020,India,Rajasthan,93
554,01-04-2020,India,Tamil Nadu,234
555,01-04-2020,India,Telengana,96
556,01-04-2020,India,Uttarakhand,7
557,01-04-2020,India,Uttar Pradesh,103
558,01-04-2020,India,West Bengal,37
559,02-04-2020,India,Andhra Pradesh,86
560,02-04-2020,India,Andaman and Nicobar Islands,10
561,02-04-2020,India,Assam,5
562,02-04-2020,India,Bihar,24
563,02-04-2020,India,Chandigarh,16
564,02-04-2020,India,Chhattisgarh,9
565,02-04-2020,India,Delhi,219
566,02-04-2020,India,Goa,5
567,02-04-2020,India,Gujarat,87
568,02-04-2020,India,Haryana,43
569,02-04-2020,India,Himachal Pradesh,3
570,02-04-2020,India,Jammu and Kashmir,62
571,02-04-2020,India,Jharkhand,1
572,02-04-2020,India,Karnataka,110
573,02-04-2020,India,Kerala,265
574,02-04-2020,India,Ladakh,13
575,02-04-2020,India,Madhya Pradesh,99
576,02-04-2020,India,Maharashtra,335
577,02-04-2020,India,Manipur,1
578,02-04-2020,India,Mizoram,1
579,02-04-2020,India,Odisha,4
580,02-04-2020,India,Puducherry,3
581,02-04-2020,India,Punjab,46
582,02-04-2020,India,Rajasthan,108
583,02-04-2020,India,Tamil Nadu,234
584,02-04-2020,India,Telengana,107
585,02-04-2020,India,Uttarakhand,7
586,02-04-2020,India,Uttar Pradesh,113
587,02-04-2020,India,West Bengal,53
588,03-04-2020,India,Andhra Pradesh,132
589,03-04-2020,India,Andaman and Nicobar Islands,10
590,03-04-2020,India,Arunachal Pradesh,1
591,03-04-2020,India,Assam,16
592,03-04-2020,India,Bihar,29
593,03-04-2020,India,Chandigarh,18
594,03-04-2020,India,Chhattisgarh,9
595,03-04-2020,India,Delhi,219
596,03-04-2020,India,Goa,6
597,03-04-2020,India,Gujarat,95
598,03-04-2020,India,Haryana,49
599,03-04-2020,India,Himachal Pradesh,6
600,03-04-2020,India,Jammu and Kashmir,75
601,03-04-2020,India,Jharkhand,2
602,03-04-2020,India,Karnataka,124
603,03-04-2020,India,Kerala,286
604,03-04-2020,India,Ladakh,14
605,03-04-2020,India,Madhya Pradesh,104
606,03-04-2020,India,Maharashtra,335
607,03-04-2020,India,Manipur,2
608,03-04-2020,India,Mizoram,1
609,03-04-2020,India,Odisha,5
610,03-04-2020,India,Puducherry,5
611,03-04-2020,India,Punjab,48
612,03-04-2020,India,Rajasthan,167
613,03-04-2020,India,Tamil Nadu,309
614,03-04-2020,India,Telengana,158
615,03-04-2020,India,Uttarakhand,10
616,03-04-2020,India,Uttar Pradesh,172
617,03-04-2020,India,West Bengal,63
618,03-04-2020,India,Unassigned,77
619,04-04-2020,India,Andhra Pradesh,161
620,04-04-2020,India,Andaman and Nicobar Islands,10
621,04-04-2020,India,Arunachal Pradesh,1
622,04-04-2020,India,Assam,24
623,04-04-2020,India,Bihar,30
624,04-04-2020,India,Chandigarh,18
625,04-04-2020,India,Chhattisgarh,9
626,04-04-2020,India,Delhi,445
627,04-04-2020,India,Goa,7
628,04-04-2020,India,Gujarat,105
629,04-04-2020,India,Haryana,49
630,04-04-2020,India,Himachal Pradesh,6
631,04-04-2020,India,Jammu and Kashmir,75
632,04-04-2020,India,Jharkhand,2
633,04-04-2020,India,Karnataka,128
634,04-04-2020,India,Kerala,295
635,04-04-2020,India,Ladakh,14
636,04-04-2020,India,Madhya Pradesh,104
637,04-04-2020,India,Maharashtra,490
638,04-04-2020,India,Manipur,2
639,04-04-2020,India,Mizoram,1
640,04-04-2020,India,Odisha,5
641,04-04-2020,India,Puducherry,5
642,04-04-2020,India,Punjab,57
643,04-04-2020,India,Rajasthan,200
644,04-04-2020,India,Tamil Nadu,411
645,04-04-2020,India,Telengana,159
646,04-04-2020,India,Uttarakhand,16
647,04-04-2020,India,Uttar Pradesh,174
648,04-04-2020,India,West Bengal,69
649,05-04-2020,India,Andhra Pradesh,190
650,05-04-2020,India,Andaman and Nicobar Islands,10
651,05-04-2020,India,Arunachal Pradesh,1
652,05-04-2020,India,Assam,26
653,05-04-2020,India,Bihar,30
654,05-04-2020,India,Chandigarh,18
655,05-04-2020,India,Chhattisgarh,9
656,05-04-2020,India,Delhi,503
657,05-04-2020,India,Goa,7
658,05-04-2020,India,Gujarat,122
659,05-04-2020,India,Haryana,59
660,05-04-2020,India,Himachal Pradesh,6
661,05-04-2020,India,Jammu and Kashmir,106
662,05-04-2020,India,Jharkhand,3
663,05-04-2020,India,Karnataka,144
664,05-04-2020,India,Kerala,306
665,05-04-2020,India,Ladakh,14
666,05-04-2020,India,Madhya Pradesh,165
